1993/06/08	1993/SN+//SP+06/SN+//SP+08/SN
`	`/SS
방어	방어/NNG
'	'/SS
로	로/JKB
일어난다고	일어나/VV+ㄴ/ETM+다고/EC
심	심/NNP
교수는	교수/NNG+는/JX
행위	행위/NNG
자체는	자체/NNG+는/JX
상대가	상대/NNG+가/JKS
술에	술/NNG+에/JKB
취했거나	취하/VV+았/EP+거나/EC
잠들어서	잠들/VV+어서/EC
무기력	무/XPN+기력/NNG
때로	때로/MAG
계획'되기	때문/NNB+에/JKB
죄질이	나쁘/VA+다/EC
나쁘다	'/SS
강한	강/XR+하/XSA+ㄴ/ETM
처벌을	처벌/NNG+을/JKO
받게	받/VV+게/EC
된다	되/VV+ㄴ다/EC
사회	사회/NNG
참여가	참여/NNG+가/JKS
늘고	늘/VV+고/EC
권리가	권리/NNG+가/JKS
높아진다고	높/VA+아/EC+지/VX+ㄴ다고/EC
해서	하/VV+아서/EC
늘지는	늘/VV+지/EC+는/JX
않는다는	않/VX+는다는/ETM
1993/06/18	1993/SN+//SP+06/SN+//SP+18/SN
생산자	생산자/NNG
사진	사진/NNG
붙인	붙이/VV+ㄴ/ETM
농산물	농산물/NNG
출하	출하/NNG
생산자의	생산자/NNG+의/JKG
얼굴	얼굴/NNG
사진이	사진/NNG+이/JKS
붙어	붙/VV+어/EC
농산물이	농산물/NNG+이/JKS
신세계백화점은	신세계백화점/NNP+은/JX
17일부터	17/SN+일/NNB+부터/JX
백화점	백화점/NNG
지정	지정/NNG
농장에서	농장/NNG+에서/JKB
재배한	재배/NNG+하/XSV+ㄴ/ETM
수박에	수박/NNG+에/JKB
재배	재배/NNG
농민의	농민/NNG+의/JKG
반명함판	반명/NNG+함판/NNG
크기	크기/NNG
컬러	컬러/NNG
사진을	사진/NNG+을/JKO
부착해	부착/NNG+하/XSV+아/EC
판매,	판매/NNG+,/SP
끌고	끌/VV+고/EC
양복에	양복/NNG+에/JKB
넥타이를	넥타이/NNG+를/JKO
맨	맨/MM
모습의	모습/NNG+의/JKG
재배농민은	재배/NNG+농민/NNG+은/JX
경남	경남/NNP
함안군	함안군/NNP
대산면	대산면/NNP
평기리	평기리/NNP
977	977/SN
소망농장	소망/NNG+농장/NNG
주인	주인/NNG
문은섭씨(41).	문은섭/NNP+씨/NNB+(/SS+41/SN+)/SS+./SF
1993/06/20	1993/SN+//SP+06/SN+//SP+20/SN
13	13/SN
규격	규격/NNG
미달	미달/NNG
장시간	장시간/NNG
사용	사용/NNG
변형	변형/NNG
주서기나	주/NNP+서기/NNG+나/JC
녹즙기중	녹즙기/NNG+중/NNB
일부가	일부/NNG+가/JKS
장기간	장기간/NNG
사용할	사용/NNG+하/XSV+ㄹ/ETM
전동기가	전동기/NNG+가/JKS
과열로	과열/NNG+로/JKB
타는	타/VV+는/ETM
문제가	문제/NNG+가/JKS
드러났다.	드러나/VV+았/EP+다/EF+./SF
1993/06/28	1993/SN+//SP+06/SN+//SP+28/SN
다양한	다양/NNG+하/XSA+ㄴ/ETM
건강	건강/NNG
정보	정보/NNG
전화	전화/NNG
PC로	PC/SL+로/JKB
제공	제공/NNG
전문의	전문의/NNG
참여	참여/NNG
진료	진료/NNG
상담도	상담/NNG+도/JX
건강에	건강/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
각종	각종/NNG
제공하는	제공/NNG+하/XSV+는/ETM
PC통신	PC/SL+통신/NNG
서비스가	서비스/NNG+가/JKS
급증하고	급증/NNG+하/XSV+고/EC
금연,	금연/NNG+,/SP
스트레스,	스트레스/NNG+,/SP
민간요법,	민간요법/NNG+,/SP
심리분석,	심리/NNG+분석/NNG+,/SP
모자보건	모자/NNG+보건/NNG
정보서비스도	정보/NNG+서비스/NNG+도/JX
이용료는	이용료/NNG+는/JX
기본	기본/NNG
통화료에	통화료/NNG+에/JKB
3분당	3/SN+분/NNB+당/XSN
2백∼3백원이	2/SN+백/NR+∼/SO+3/SN+백/NR+원/NNB+이/JKS
추가된다.	추가/NNG+되/XSV+ㄴ다/EF+./SF
서울대	서울대/NNP
유태우	유태우/NNP
교수(가정의학과)는	교수/NNG+(/SS+가정/NNG+의학/NNG+과/NNG+)/SS+는/JX
이런	이런/MM
서비스들은	서비스/NNG+들/XSN+은/JX
건강지식을	건강/NNG+지식/NNG+을/JKO
공급해	공급/NNG+하/XSV+아/EC
질병을	질병/NNG+을/JKO
예방하는	예방/NNG+하/XSV+는/ETM
기능을	기능/NNG+을/JKO
하지만	하/VX+지만/EC
환자가	환자/NNG+가/JKS
정보서비스를	정보/NNG+서비스/NNG+를/JKO
과신,	과신/NNG+,/SP
자가진단하다	자가/NNG+진단/NNG+하/XSV+다/EC
오진하거나	오진/NNG+하/XSV+거나/EC
치료	치료/NNG
시기를	시기/NNG+를/JKO
놓치게	놓치/VV+게/EC
되는	되/VV+는/ETM
위험성도	위험/NNG+성/XSN+도/JX
안고	안/VV+고/EC
있다	있/VV+다/EC
주사로	주사/NNG+로/JKB
세포	세포/NNG
추출	추출/NNG
정확한	정확/NNG+하/XSA+ㄴ/ETM
진단	진단/NNG
환부에	환부/NNG+에/JKB
가느다란	가느다랗/VA+ㄴ/ETM
주사바늘을	주사/NNG+바늘/NNG+을/JKO
꽂아	꽂/VV+아/EC
종양	종양/NNG
조직을	조직/NNG+을/JKO
추출,	추출/NNG+,/SP
검사하는	검사/NNG+하/XSV+는/ETM
세침흡인	세침흡/NNG+이/VCP+ㄴ/ETM
검사(세침흡인검사)가	검사/NNG+(/SS+세침흡인/NNG+검사/NNG+)/SS+가/JKS
최근	최근/NNG
유방암	유방암/NNG
진단에	진단/NNG+에/JKB
폭	폭/NNG
넓게	넓/VA+게/EC
활용되고	활용/NNG+되/XSV+고/EC
검사는	검사/NNG+는/JX
스웨덴을	스웨덴/NNP+을/JKO
유럽	유럽/NNP
미국	미국/NNP
등에선	등/NNB+에서/JKB+ㄴ/JX
이미	이미/MAG
50년대부터	50/SN+년대/NNB+부터/JX
유방암,	유방암/NNG+,/SP
전립선	전립선/NNG
암	암/NNG
등의	등/NNB+의/JKG
흔히	흔히/MAG
사용되는	사용/NNG+되/XSV+는/ETM
간편하고도	간편/XR+하/XSA+고/EC+도/JX
정확도가	정확도/NNG+가/JKS
진단법으로	진단법/NNG+으로/JKB
평가	평가/NNG
받고	받/VV+고/EC
국내에선	국내/NNG+에서/JKB+ㄴ/JX
들어	들/VV+어/EC
국립의료원	국립/NNG+의료원/NNG
서울대병원	서울대병원/NNP
백병원	백병원/NNP
순천향병원	순천향병원/NNP
대학	대학/NNG
병원에서	병원/NNG+에서/JKB
있으며	있/VX+으며/EC
서울중앙병원의	서울중앙병원/NNP+의/JKG
외래에	외래/NNG+에/JKB
검사실을	검사실/NNG+을/JKO
따로	따로/MAG
운영하고	운영/NNG+하/XSV+고/EC
1년간	1/SN+년/NNB+간/NNG
2천	2/SN+천/NR
5백여	5/SN+백/NR+여/XSN
환자에게	환자/NNG+에게/JKB
검사를	검사/NNG+를/JKO
적용했다는	적용/NNG+하/XSV+았/EP+다는/ETM
서울중앙병원	서울중앙병원/NNP
공경엽	공경엽/NNP
전문의(해부병리과)는	전문의/NNG+(/SS+해부/NNG+병리과/NNG+)/SS+는/JX
세포추출에서	세포/NNG+추출/NNG+에서/JKB
검사	검사/NNG
결과가	결과/NNG+가/JKS
나오기까지의	나오/VV+기/ETN+까지/JX+의/JKG
전	전/NNG
과정이	과정/NNG+이/JKS
10분정도밖에	10/SN+분/NNB+정도/NNG+밖에/JX
안걸리며,	안/MAG+걸리/VV+며/EC+,/SP
정확도도	정확도/NNG+도/JX
90%로	90/SN+%/SW+로/JKB
매우	매우/MAG
높다	높/VA+다/EC
검사환자의	검사/NNG+환자/NNG+의/JKG
가량을	가량/NNG+을/JKO
차지하는	차지/NNG+하/XSV+는/ETM
유방암은	유방암/NNG+은/JX
95%의	95/SN+%/SW+의/JKG
정확도를	정확도/NNG+를/JKO
보인다는	보이/VV+ㄴ다는/ETM
검사법은	검사법/NNG+은/JX
근육주사	근육/NNG+주사/NNG
바늘과	바늘/NNG+과/JKB
비슷한	비슷/XR+하/XSA+ㄴ/ETM
모양의	모양/NNG+의/JKG
세포흡인	세포흡/NNG+이/VCP+ㄴ/ETM
마취	마취/NNG
없이	없이/MAG
꽂은	꽂/VV+은/ETM
뒤	뒤/NNG
음압을	음압/NNG+을/JKO
가해	가하/VV+아/EC
환부의	환부/NNG+의/JKG
미세한	미세/NNG+하/XSA+ㄴ/ETM
세포조직을	세포/NNG+조직/NNG+을/JKO
뽑아낸다.	뽑아내/VV+ㄴ/ETM+다/EF+./SF
정신적	정신/NNG+적/XSN
신체적	신체/NNG+적/XSN
부담이	부담/NNG+이/JKS
거의	거의/MAG
없다고	없/VA+다고/EC
공전문의는	공전문의/NNG+는/JX
검사비용은	검사/NNG+비용/NNG+은/JX
2만원정도.	2/SN+만/NR+원/NNB+정도/NNG+./SF
세침흡인검사는	세침흡인/NNG+검사/NNG+는/JX
유방암외에도	유방암/NNG+외/NNB+에/JKB+도/JX
갑상선질환,	갑상선/NNG+질환/NNG+,/SP
림프종,	림프종/NNG+,/SP
림프선	림프선/NNG
결핵,	결핵/NNG+,/SP
타액선종양,	타액/NNG+선종양/NNG+,/SP
전이성	전이/NNG+성/XSN
암,	암/NNG+,/SP
진단에도	진단/NNG+에/JKB+도/JX
이동화	이동화/NNP
교수(해부병리학)는	교수/NNG+(/SS+해부/NNG+병리학/NNG+)/SS+는/JX
간암,	간암/NNG+,/SP
폐암,	폐암/NNG+,/SP
췌장암	췌장암/NNG
깊숙한	깊숙/XR+하/XSA+ㄴ/ETM
곳의	곳/NNG+의/JKG
종양진단에도	종양/NNG+진단/NNG+에/JKB+도/JX
유효하며,	유효/NNG+하/XSA+며/EC+,/SP
목부위의	목부위/NNG+의/JKG
임파선에까지	임파선/NNG+에/JKB+까지/JX
암세포가	암세포/NNG+가/JKS
퍼진	퍼지/VV+ㄴ/ETM
말기	말기/NNG
위암	위암/NNG
환자에겐	환자/NNG+에게/JKB+ㄴ/JX
고통을	고통/NNG+을/JKO
주지	주/VV+지/EC
않고	않/VX+고/EC
진단할	진단/NNG+하/XSV+ㄹ/ETM
장점이	장점/NNG+이/JKS
위	위/NNG
대장	대장/NNG
악성종양의	악성/NNG+종양/NNG+의/JKG
타입을	타입/NNG+을/JKO
감별하기는	감별/NNG+하/XSV+기/ETN+는/JX
힘들다고	힘들/VA+다고/EC
누관폐색	누관/NNG+폐색/NNG
새	새/MM
치료법	치료법/NNG
개발	개발/NNG
송호영	송호영/NNP
교수(진단방사선과)팀은	교수/NNG+(/SS+진단/NNG+방사선과/NNG+)/SS+팀/NNG+은/JX
눈물샘	눈물샘/NNG
통로가	통로/NNG+가/JKS
좁거나	좁/VA+거나/EC
막혀	막히/VV+어/EC
눈물이	눈물/NNG+이/JKS
코로	코/NNG+로/JKB
배출되지	배출/NNG+되/XSV+지/EC
못하고	못하/VX+고/EC
눈에	눈/NNG+에/JKB
괴는	괴/VV+는/ETM
누관폐색환자에게	누관/NNG+폐색/NNG+환자/NNG+에게/JKB
스텐트를	스텐트/NNG+를/JKO
이용한	이용/NNG+하/XSV+ㄴ/ETM
간단한	간단/XR+하/XSA+ㄴ/ETM
치료법을	치료법/NNG+을/JKO
세계에서	세계/NNG+에서/JKB
개발했다고	개발/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF
이로써	이/NP+로써/JKB
전신마취를	전신/NNG+마취/NNG+를/JKO
동반하는	동반/NNG+하/XSV+는/ETM
수술	수술/NNG
입원이	입원/NNG+이/JKS
필요	필요/NNG
진료실에서	진료실/NNG+에서/JKB
간단하게	간단/XR+하/XSA+게/EC
시술할	시술/NNG+하/XSV+ㄹ/ETM
있게	있/VV+게/EC
됐다는	되/VV+었/EP+다는/ETM
배터리	배터리/NNG
이용	이용/NNG
인공팔	인공팔/NNG
첫선	첫선/NNG
영국	영국/NNP
스코틀랜드	스코틀랜드/NNP
에덴버그	에덴버그/NNP
프린세스	프린세스/NNP
마가렛	마가렛/NNP
로즈병원	로즈병원/NNP
정형센터는	정형/NNG+센터/NNG+는/JX
전기동력에	전기/NNG+동력/NNG+에/JKB
의해	의하/VV+아/EC
움직이며	움직이/VV+며/EC
1㎏의	1/SN+㎏/SW+의/JKG
물건을	물건/NNG+을/JKO
집거나	집/VV+거나/EC
들	들/VV+ㄹ/ETM
인공팔을	인공팔/NNG+을/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF
전기	전기/NNG
인공팔은	인공/NNG+팔/NNG+은/JX
충전식	충전식/NNG
배터리를	배터리/NNG+를/JKO
이용,	이용/NNG+,/SP
동작이	동작/NNG+이/JKS
자유스러우며	자유/NNG+스럽/XSA+며/EC
인간의	인간/NNG+의/JKG
피부와	피부/NNG+와/JKB
아주	아주/MAG
실리콘	실리콘/NNG
피부를	피부/NNG+를/JKO
입혀	입히/VV+어/EC
팔과	팔/NNG+과/JC
흡사한	흡사/MAG+하/XSA+ㄴ/ETM
평가됐다.	평가/NNG+되/XSV+었/EP+다/EF+./SF
감마나이프로	감마나이프/NNG+로/JKB
간질	간질/NNG
황충진	황충진/NNP
교수(신경외과)팀은	교수/NNG+(/SS+신경외과/NNG+)/SS+팀/NNG+은/JX
뇌조직	뇌/NNG+조직/NNG
이상에	이상/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
간질환자	간/NNG+질환자/NNG
치료에	치료/NNG+에/JKB
감마나이프에	감마나이프/NNG+에/JKB
수술이	수술/NNG+이/JKS
상당한	상당/NNG+하/XSA+ㄴ/ETM
효과가	효과/NNG+가/JKS
있다는	있/VX+다는/ETM
연구	연구/NNG
결과를	결과/NNG+를/JKO
스웨덴에서	스웨덴/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
국제학회에	국제/NNG+학회/NNG+에/JKB
건강운동	건강/NNG+운동/NNG
조깅	조깅/NNG
많아	많/VA+아/EC
(주)리서치	(/SS+주/NNG+)/SS+리서치/NNP
앤	앤/NNP
리서치는	리서치/NNG+는/JX
전국의	전국/NNG+의/JKG
성인	성인/NNG
6백명을	6/SN+백/NR+명/NNB+을/JKO
대상으로	대상/NNG+으로/JKB
여론조사를	여론/NNG+조사/NNG+를/JKO
실시한	실시/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
한국인들이	한국인/NNG+들/XSN+이/JKS
건강을	건강/NNG+을/JKO
하고	하/VX+고/EC
운동은	운동/NNG+은/JX
조깅(12.5%),	조깅/NNG+(/SS+12/SN+./SP+5/SN+%/SW+)/SS+,/SP
등산(11.2%)이	등산/NNG+(/SS+11/SN+./SP+2/SN+%/SW+)/SS+이/JKS
많았다고	많/VA+았/EP+다고/EC
평소	평소/NNG
운동을	운동/NNG+을/JKO
있는가를	있/VX+는가/EC+를/JKO
물어	묻/VV+어/EC
본	보/VV+ㄴ/ETM
58%가	58/SN+%/SW+가/JKS
대답했고	대답/NNG+하/XSV+았/EP+고/EC
42%는	42/SN+%/SW+는/JX
하지	하/VV+지/EC
않는다고	않/VX+는다고/EC
답했다고	답/NNG+하/XSV+았/EP+다고/EC
1993/06/30	1993/SN+//SP+06/SN+//SP+30/SN
돌연사	돌연사/NNG
예방	예방/NNG
가능	가능/NNG
일	일/NNG
요시이	요시이/NNP
노부오	노부오/NNP
호흡곤란	호흡/NNG+곤란/NNG
구토	구토/NNG
위통	위통/NNG
가슴통증	가슴통증/NNG
그러나,	그러나/MAJ+,/SP
일본에서는	일본/NNP+에서/JKB+는/JX
돌연사도	돌연사/NNG+도/JX
발병	발병/NNG
이상징후를	이상/NNG+징후/NNG+를/JKO
연구가	연구/NNG+가/JKS
화제가	화제/NNG+가/JKC
되고	되/VV+고/EC
연구자는	연구자/NNG+는/JX
동방대	동방대/NNG
의학부	의학부/NNG
교수(뇌신경외과).	교수/NNG+(/SS+뇌신경/NNG+외과/NNG+)/SS+./SF
일본잡지의	일본/NNP+잡지/NNG+의/JKG
보도에	보도/NNG+에/JKB
따르면	따르/VV+면/EC
10년전	10/SN+년/NNB+전/NNG
의대생이었던	의대/NNG+생/XSN+이/VCP+었/EP+던/ETM
장남을	장남/NNG+을/JKO
돌연사로	돌연사/NNG+로/JKB
잃었다.	잃/VV+었/EP+다/EF+./SF
장례식	장례식/NNG
날	나/VV+ㄹ/ETM
아들	아들/NNG
친구들로부터	친구/NNG+들/XSN+로부터/JKB
아들이	아들/NNG+이/JKS
사망	사망/NNG
2	2/SN
개월	개월/NNB
전부터	전/NNG+부터/JX
이상한	이상/NNG+하/XSA+ㄴ/ETM
증상을	증상/NNG+을/JKO
보였다는	보이/VV+었/EP+다는/ETM
얘기를	얘기/NNG+를/JKO
전해	전하/VV+아/EC
듣고	듣/VV+고/EC
유족들에게	유족/NNG+들/XSN+에게/JKB
그	그/MM
같은	같/VA+은/ETM
경험들이	경험/NNG+들/XSN+이/JKS
있었는지를	있/VV+었/EP+는지/EC+를/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF
결과는	결과/NNG+는/JX
놀랍게도	놀랍/VA+게/EC+도/JX
돌연사한	돌연사/NNG+하/XSV+ㄴ/ETM
사람들의	사람/NNG+들/XSN+의/JKG
반수	반수/NNG
이상이	이상/NNG+이/JKS
죽기	죽/VV+기/ETN
유사한	유사/NNG+하/XSA+ㄴ/ETM
증세를	증세/NNG+를/JKO
유족의	유족/NNG+의/JKG
말뿐	말/NNG+뿐/JX
아니라	아니/VCN+라/EC
돌연사의	돌연사/NNG+의/JKG
주요	주요/NNG
원인인	원인/NNG+이/VCP+ㄴ/ETM
뇌졸중이나	뇌졸중/NNG+이나/JC
심장질환에서	심장/NNG+질환/NNG+에서/JKB
살아난	살아나/VV+ㄴ/ETM
증언도	증언/NNG+도/JX
모으고	모으/VV+고/EC
교수가	교수/NNG+가/JKS
수집한	수집/NNG+하/XSV+ㄴ/ETM
중요한	중요/NNG+하/XSA+ㄴ/ETM
전조는	전조/NNG+는/JX
표와	표/NNG+와/JKB
같다.	같/VA+다/EF+./SF
전문의들도	전문의/NNG+들/XSN+도/JX
뇌,	뇌/NNG+,/SP
심장,	심장/NNG+,/SP
간,	간/NNG+,/SP
신장,	신장/NNG+,/SP
호흡기	호흡기/NNG
질환에	질환/NNG+에/JKB
전조가	전조/NNG+가/JKS
나타난다고	나타나/VV+ㄴ/ETM+다고/EC
지적한다.	지적/NNG+하/XSV+ㄴ다/EF+./SF
증상들이	증상/NNG+들/XSN+이/JKS
이어지는	이어지/VV+는/ETM
아니지만	아니/VCN+지만/EC
만약을	만약/NNG+을/JKO
정밀검사를	정밀/NNG+검사/NNG+를/JKO
받아	받/VV+아/EC
보는	보/VV+는/ETM
좋을	좋/VA+을/ETM
것	것/NNB
성폭력법	성폭력법/NNG
시안	시안/NNG
반대	반대/NNG
성명	성명/NNG
1993/07/02	1993/SN+//SP+07/SN+//SP+02/SN
안전사고	안전사고/NNG
토	토/NNG
일요일	일요일/NNG
발생	발생/NNG
오후	오후/NNG
4∼10시에	4/SN+∼/SO+10/SN+시/NNB+에/JKB
집중	집중/NNG
2∼12세	2/SN+∼/SO+12/SN+세/NNB
41.3%차지	41/SN+./SP+3/SN+%/SW+차지/NNG
집	집/NNG
도로	도로/NNG
공공건물	공공건물/NNG
순	수/NNB+ㄴ/JX
안전사고는	안전사고/NNG+는/JX
일요일에	일요일/NNG+에/JKB
발생하며	발생/NNG+하/XSV+며/EC
하루	하루/NNG
중에는	중/NNB+에/JKB+는/JX
4～10시에	4/SN+～/SO+10/SN+시/NNB+에/JKB
집중적으로	집중/NNG+적/XSN+으로/JKB
일어난다.	일어나/VV+ㄴ다/EF+./SF
조사에	조사/NNG+에/JKB
안전사고를	안전사고/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
환자는	환자/NNG+는/JX
남자가	남자/NNG+가/JKS
62.3%로	62/SN+./SP+3/SN+%/SW+로/JKB
여자(37.7%)보다	여자/NNG+(/SS+37/SN+./SP+7/SN+%/SW+)/SS+보다/JKB
월등히	월등히/MAG
많았다.	많/VA+았/EP+다/EF+./SF
연령별로는	연령/NNG+별/XSN+로/JKB+는/JX
2∼12세가	2/SN+∼/SO+12/SN+세/NNB+가/JKS
전체의	전체/NNG+의/JKG
41.3%로	41/SN+./SP+3/SN+%/SW+로/JKB
많았고	많/VA+았/EP+고/EC
19∼30세도	19/SN+∼/SO+30/SN+세/NNB+도/JX
17.7%를	17/SN+./SP+7/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF
밖의	밖/NNG+의/JKG
연령층은	연령/NNG+층/XSN+은/JX
10%	10/SN+%/SW
안	안/MAG
쪽으로	쪽/NNB+으로/JKB
낮게	낮/VA+게/EC
2∼4시	2/SN+∼/SO+4/SN+시/NNB
12.7%,	12/SN+./SP+7/SN+%/SW+,/SP
낮	낮/NNG
12시∼오후	12/SN+시/NNB+∼/SO+오후/NNG
2시도	2/SN+시/NNB+도/JX
10.0%를	10/SN+./SP+0/SN+%/SW+를/JKO
차지해	차지/NNG+하/XSV+아/EC
안전사고가	안전사고/NNG+가/JKS
오후시간대에	오후/NNG+시간대/NNG+에/JKB
발생하는	발생/NNG+하/XSV+는/ETM
요일별로는	요일/NNG+별/XSN+로/JKB+는/JX
일요일이	일요일/NNG+이/JKS
20.3%,	20/SN+./SP+3/SN+%/SW+,/SP
토요일	토요일/NNG
18.	18/SN+./SP
4%로	4/SN+%/SW+로/JKB
높았고	높/VA+았/EP+고/EC
다음으로	다음/NNG+으로/JKB
금요일(14.9%),	금요일/NNG+(/SS+14/SN+./SP+9/SN+%/SW+)/SS+,/SP
목요일(14.5%)의	목요일/NNG+(/SS+14/SN+./SP+5/SN+%/SW+)/SS+의/JKG
순이었다.	순/NNG+이/VCP+었/EP+다/EF+./SF
사고가	사고/NNG+가/JKS
발생한	발생/NNG+하/XSV+ㄴ/ETM
장소는	장소/NNG+는/JX
집이	집/NNG+이/JKC
40.9%로	40/SN+./SP+9/SN+%/SW+로/JKB
도로(29.9%),	도로/NNG+(/SS+29/SN+./SP+9/SN+%/SW+)/SS+,/SP
상가의	상가/NNG+의/JKG
옥내(15.1%)였고	옥내/NNG+(/SS+15/SN+./SP+1/SN+%/SW+)/SS+이/VCP+었/EP+고/EC
작업장(5.6%),	작업장/NNG+(/SS+5/SN+./SP+6/SN+%/SW+)/SS+,/SP
학교(5.0%),	학교/NNG+(/SS+5/SN+./SP+0/SN+%/SW+)/SS+,/SP
놀이터(2.2%)에서의	놀이터/NNG+(/SS+2/SN+./SP+2/SN+%/SW+)/SS+에서/JKB+의/JKG
낮았다.	낮/VA+았/EP+다/EF+./SF
집에서	집/NNG+에서/JKB
안전사고의	안전사고/NNG+의/JKG
유형은	유형/NNG+은/JX
낙상(21.6%),	낙상/NNG+(/SS+21/SN+./SP+6/SN+%/SW+)/SS+,/SP
미끄러짐(15.9%),	미끄러짐/VV+(/SS+15/SN+./SP+9/SN+%/SW+)/SS+,/SP
화상(6.9%)이	화상/NNG+(/SS+6/SN+./SP+9/SN+%/SW+)/SS+이/JKS
이루었다.	이루/VV+었/EP+다/EF+./SF
낙상	낙상/NNG
계단,	계단/NNG+,/SP
미끄러짐의	미끄러짐/VV+의/JKG
목욕탕이	목욕탕/NNG+이/JKS
많았다	많/VA+았/EP+다/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF
도로에서	도로/NNG+에서/JKB
사고는	사고/NNG+는/JX
교통	교통/NNG
78.3%로	78/SN+./SP+3/SN+%/SW+로/JKB
압도적이었으나	압도/NNG+적/XSN+이/VCP+었/EP+으나/EC
낙상,	낙상/NNG+,/SP
미끄러짐도	미끄러짐/VV+도/JX
각각	각각/MAG
5.8%를	5/SN+./SP+8/SN+%/SW+를/JKO
사고장소를	사고/NNG+장소/NNG+를/JKO
연령별로	연령/NNG+별/XSN+로/JKB
분석한	분석/NNG+하/XSV+ㄴ/ETM
2∼12세는	2/SN+∼/SO+12/SN+세/NNB+는/JX
압도적이었고,	압도/NNG+적/XSN+이/VCP+었/EP+고/EC+,/SP
19∼40세의	19/SN+∼/SO+40/SN+세/NNB+의/JKG
성인은	성인/NNG+은/JX
도로가	도로/NNG+가/JKS
사고유형을	사고/NNG+유형/NNG+을/JKO
살펴	살피/VV+어/EC
보면	보/VX+면/EC
2∼12세의	2/SN+∼/SO+12/SN+세/NNB+의/JKG
낙상과	낙상/NNG+과/JC
교통사고가	교통사고/NNG+가/JKS
비슷하게	비슷/XR+하/XSA+게/EC
많았고,	많/VA+았/EP+고/EC+,/SP
압도적이었다.	압도/NNG+적/XSN+이/VCP+었/EP+다/EF+./SF
상설할인	상설/NNG+할인/NNG
매장	매장/NNG
전국	전국/NNG
120여곳	120/SN+여/XSN+곳/NNG
성업	성업/NNG
수출	수출/NNG
내수	내수/NNG
부진으로	부진/NNG+으로/JKB
상설할인매장이	상설/NNG+할인/NNG+매장/NNG+이/JKS
부쩍	부쩍/MAG
중소기업체들의	중소기업체/NNG+들/XSN+의/JKG
창고에	창고/NNG+에/JKB
쌓인	쌓이/VV+ㄴ/ETM
대량으로	대량/NNG+으로/JKB
매입,	매입/NNG+,/SP
싼	싸/VA+ㄴ/ETM
값에	값/NNG+에/JKB
판매하는	판매/NNG+하/XSV+는/ETM
전국적으로	전국/NNG+적/XSN+으로/JKB
1백	1/SN+백/NR
20여곳을	20/SN+여/XSN+곳/NNG+을/JKO
넘어서고	넘어서/VV+고/EC
이들	이/NP+들/XSN
상설할인매장은	상설/NNG+할인/NNG+매장/NNG+은/JX
매장마다	매장/NNG+마다/JX
4백∼6백여종의	4/SN+백/NR+∼/SO+6/SN+백/NR+여/XSN+종/NNG+의/JKG
용품을	용품/NNG+을/JKO
크게는	크/VA+게/EC+는/JX
소비자가격의	소비자/NNG+가격/NNG+의/JKG
3분의	3/SN+분/XSN+의/JKG
1	1/SN
가격으로,	가격/NNG+으로/JKB+,/SP
